"Status","Category","Check","Page URL","Page score","Current value","Issue","Why it matters","How to fix"
"critical","Other","Robots.txt Blocks All Crawlers","https://aiqualityhq.com/","87","# As a condition of accessing this website, you agree to abide by the following
# content signals:

","Robots.txt has 'Disallow: /' — blocking search engines from the entire site.","A misconfigured robots.txt can prevent Google from indexing any of your pages.","Remove 'Disallow: /' unless you intentionally want to block all crawlers."
"critical","Other","Robots.txt Blocks All Crawlers","https://aiqualityhq.com/","88","# As a condition of accessing this website, you agree to abide by the following
# content signals:

","Robots.txt has 'Disallow: /' — blocking search engines from the entire site.","A misconfigured robots.txt can prevent Google from indexing any of your pages.","Remove 'Disallow: /' unless you intentionally want to block all crawlers."
"critical","Other","Robots.txt Blocks All Crawlers","https://aiqualityhq.com/about","89","# As a condition of accessing this website, you agree to abide by the following
# content signals:

","Robots.txt has 'Disallow: /' — blocking search engines from the entire site.","A misconfigured robots.txt can prevent Google from indexing any of your pages.","Remove 'Disallow: /' unless you intentionally want to block all crawlers."
"critical","Other","Robots.txt Blocks All Crawlers","https://aiqualityhq.com/advertise","89","# As a condition of accessing this website, you agree to abide by the following
# content signals:

","Robots.txt has 'Disallow: /' — blocking search engines from the entire site.","A misconfigured robots.txt can prevent Google from indexing any of your pages.","Remove 'Disallow: /' unless you intentionally want to block all crawlers."
"critical","Other","Robots.txt Blocks All Crawlers","https://aiqualityhq.com/advertise-with-us","60","# As a condition of accessing this website, you agree to abide by the following
# content signals:

","Robots.txt has 'Disallow: /' — blocking search engines from the entire site.","A misconfigured robots.txt can prevent Google from indexing any of your pages.","Remove 'Disallow: /' unless you intentionally want to block all crawlers."
"critical","Other","Robots.txt Blocks All Crawlers","https://aiqualityhq.com/ai-audit","88","# As a condition of accessing this website, you agree to abide by the following
# content signals:

","Robots.txt has 'Disallow: /' — blocking search engines from the entire site.","A misconfigured robots.txt can prevent Google from indexing any of your pages.","Remove 'Disallow: /' unless you intentionally want to block all crawlers."
"critical","Other","Robots.txt Blocks All Crawlers","https://aiqualityhq.com/ai-in-test-automation","87","# As a condition of accessing this website, you agree to abide by the following
# content signals:

","Robots.txt has 'Disallow: /' — blocking search engines from the entire site.","A misconfigured robots.txt can prevent Google from indexing any of your pages.","Remove 'Disallow: /' unless you intentionally want to block all crawlers."
"critical","Other","Robots.txt Blocks All Crawlers","https://aiqualityhq.com/ai-software-testing","88","# As a condition of accessing this website, you agree to abide by the following
# content signals:

","Robots.txt has 'Disallow: /' — blocking search engines from the entire site.","A misconfigured robots.txt can prevent Google from indexing any of your pages.","Remove 'Disallow: /' unless you intentionally want to block all crawlers."
"critical","Other","Robots.txt Blocks All Crawlers","https://aiqualityhq.com/ai-system-prompt-generator","89","# As a condition of accessing this website, you agree to abide by the following
# content signals:

","Robots.txt has 'Disallow: /' — blocking search engines from the entire site.","A misconfigured robots.txt can prevent Google from indexing any of your pages.","Remove 'Disallow: /' unless you intentionally want to block all crawlers."
"critical","Other","Robots.txt Blocks All Crawlers","https://aiqualityhq.com/articles","89","# As a condition of accessing this website, you agree to abide by the following
# content signals:

","Robots.txt has 'Disallow: /' — blocking search engines from the entire site.","A misconfigured robots.txt can prevent Google from indexing any of your pages.","Remove 'Disallow: /' unless you intentionally want to block all crawlers."
"warning","Other","Character Encoding","https://aiqualityhq.com/advertise-with-us","60","Missing","No charset declaration found.","Without charset, browsers may misinterpret special characters.","Add <meta charset=""UTF-8""> inside your <head>."
"warning","External Pages","External 3XX Redirect","https://aiqualityhq.com/","88","3 external link(s) redirect","3 external link(s) redirect before reaching their destination.","Redirect external links take slightly longer to load.","Update links to final destinations: https://www.hostinger.com/in?REFERRALCODE=UDVKRALIALRV, https://www.linkedin.com/sharing/share-offsite/?url=https%3A%2F%2Faiqualityhq.com, https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Faiqualityhq.com"
"warning","External Pages","External 3XX Redirect","https://aiqualityhq.com/","87","3 external link(s) redirect","3 external link(s) redirect before reaching their destination.","Redirect external links take slightly longer to load.","Update links to final destinations: https://www.hostinger.com/in?REFERRALCODE=UDVKRALIALRV, https://www.linkedin.com/sharing/share-offsite/?url=https%3A%2F%2Faiqualityhq.com, https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Faiqualityhq.com"
"warning","External Pages","External 3XX Redirect","https://aiqualityhq.com/about","89","2 external link(s) redirect","2 external link(s) redirect before reaching their destination.","Redirect external links take slightly longer to load.","Update links to final destinations: https://www.linkedin.com/sharing/share-offsite/?url=https%3A%2F%2Faiqualityhq.com, https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Faiqualityhq.com"
"warning","External Pages","External 3XX Redirect","https://aiqualityhq.com/advertise","89","2 external link(s) redirect","2 external link(s) redirect before reaching their destination.","Redirect external links take slightly longer to load.","Update links to final destinations: https://www.linkedin.com/sharing/share-offsite/?url=https%3A%2F%2Faiqualityhq.com, https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Faiqualityhq.com"
"warning","External Pages","External 3XX Redirect","https://aiqualityhq.com/ai-audit","88","3 external link(s) redirect","3 external link(s) redirect before reaching their destination.","Redirect external links take slightly longer to load.","Update links to final destinations: https://www.hostinger.com/in?REFERRALCODE=UDVKRALIALRV, https://www.linkedin.com/sharing/share-offsite/?url=https%3A%2F%2Faiqualityhq.com, https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Faiqualityhq.com"
"warning","External Pages","External 3XX Redirect","https://aiqualityhq.com/ai-in-test-automation","87","2 external link(s) redirect","2 external link(s) redirect before reaching their destination.","Redirect external links take slightly longer to load.","Update links to final destinations: https://www.linkedin.com/sharing/share-offsite/?url=https%3A%2F%2Faiqualityhq.com, https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Faiqualityhq.com"
"warning","External Pages","External 3XX Redirect","https://aiqualityhq.com/ai-software-testing","88","2 external link(s) redirect","2 external link(s) redirect before reaching their destination.","Redirect external links take slightly longer to load.","Update links to final destinations: https://www.linkedin.com/sharing/share-offsite/?url=https%3A%2F%2Faiqualityhq.com, https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Faiqualityhq.com"
"warning","External Pages","External 3XX Redirect","https://aiqualityhq.com/ai-system-prompt-generator","89","3 external link(s) redirect","3 external link(s) redirect before reaching their destination.","Redirect external links take slightly longer to load.","Update links to final destinations: https://www.hostinger.com/in?REFERRALCODE=UDVKRALIALRV, https://www.linkedin.com/sharing/share-offsite/?url=https%3A%2F%2Faiqualityhq.com, https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Faiqualityhq.com"
"warning","External Pages","External 3XX Redirect","https://aiqualityhq.com/articles","89","2 external link(s) redirect","2 external link(s) redirect before reaching their destination.","Redirect external links take slightly longer to load.","Update links to final destinations: https://www.linkedin.com/sharing/share-offsite/?url=https%3A%2F%2Faiqualityhq.com, https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Faiqualityhq.com"
"warning","External Pages","External 4XX","https://aiqualityhq.com/","87","2 external link(s) → 4XX","2 external link(s) return 4XX errors (e.g., 404 not found).","Linking to dead external pages wastes link equity and hurts user experience.","Remove or update: https://mylaunchstash.com/product/aiqualityhq, https://twitter.com/intent/tweet?text=Check%20out%20AIQualityHQ%20%E2%80%94%20a%20free%20tool%20to%20measure%2C%20improve%2C%20and%20trust%20every%20AI%20prompt%20interaction%21&url=https%3A%2F%2Faiqualityhq.com"
"warning","External Pages","External 4XX","https://aiqualityhq.com/","88","2 external link(s) → 4XX","2 external link(s) return 4XX errors (e.g., 404 not found).","Linking to dead external pages wastes link equity and hurts user experience.","Remove or update: https://mylaunchstash.com/product/aiqualityhq, https://twitter.com/intent/tweet?text=Check%20out%20AIQualityHQ%20%E2%80%94%20a%20free%20tool%20to%20measure%2C%20improve%2C%20and%20trust%20every%20AI%20prompt%20interaction%21&url=https%3A%2F%2Faiqualityhq.com"
"warning","External Pages","External 4XX","https://aiqualityhq.com/about","89","3 external link(s) → 4XX","3 external link(s) return 4XX errors (e.g., 404 not found).","Linking to dead external pages wastes link equity and hurts user experience.","Remove or update: https://aiqualityhq.com/%3C!--email_off--%3Emailto:support@aiqualityhq.com%3C!--/email_off--%3E, https://mylaunchstash.com/product/aiqualityhq, https://twitter.com/intent/tweet?text=Check%20out%20AIQualityHQ%20%E2%80%94%20a%20free%20tool%20to%20measure%2C%20improve%2C%20and%20trust%20every%20AI%20prompt%20interaction%21&url=https%3A%2F%2Faiqualityhq.com"
"warning","External Pages","External 4XX","https://aiqualityhq.com/advertise","89","7 external link(s) → 4XX","7 external link(s) return 4XX errors (e.g., 404 not found).","Linking to dead external pages wastes link equity and hurts user experience.","Remove or update: https://aiqualityhq.com/cdn-cgi/l/email-protection#264549485247455266474f5753474a4f525f4e570845494b195553444c4345521b615343555203141676495552031416744357534355520314160e64535f4354031416765449504f4243420314160b031416031412151f0f, https://aiqualityhq.com/cdn-cgi/l/email-protection#bad9d5d4cedbd9cefadbd3cbcfdbd6d3cec3d2cb94d9d5d785c9cfd8d0dfd9ce87f9cfc9ced5d79f888aedc8d3cecedfd49f888afdcfdfc9ce9f888aead5c9ce9f888ae8dfcbcfdfc9ce9f888a929f888e8c8393, https://aiqualityhq.com/cdn-cgi/l/email-protection#25464a4b5144465165444c545044494c515c4d540b464a481a5650474f40465118694c4b4e0017156c4b564057514c4a4b001715774054504056510017150d001711171c0c"
"warning","External Pages","External 4XX","https://aiqualityhq.com/ai-audit","88","2 external link(s) → 4XX","2 external link(s) return 4XX errors (e.g., 404 not found).","Linking to dead external pages wastes link equity and hurts user experience.","Remove or update: https://mylaunchstash.com/product/aiqualityhq, https://twitter.com/intent/tweet?text=Check%20out%20AIQualityHQ%20%E2%80%94%20a%20free%20tool%20to%20measure%2C%20improve%2C%20and%20trust%20every%20AI%20prompt%20interaction%21&url=https%3A%2F%2Faiqualityhq.com"
"warning","External Pages","External 4XX","https://aiqualityhq.com/ai-in-test-automation","87","2 external link(s) → 4XX","2 external link(s) return 4XX errors (e.g., 404 not found).","Linking to dead external pages wastes link equity and hurts user experience.","Remove or update: https://mylaunchstash.com/product/aiqualityhq, https://twitter.com/intent/tweet?text=Check%20out%20AIQualityHQ%20%E2%80%94%20a%20free%20tool%20to%20measure%2C%20improve%2C%20and%20trust%20every%20AI%20prompt%20interaction%21&url=https%3A%2F%2Faiqualityhq.com"
"warning","External Pages","External 4XX","https://aiqualityhq.com/ai-software-testing","88","2 external link(s) → 4XX","2 external link(s) return 4XX errors (e.g., 404 not found).","Linking to dead external pages wastes link equity and hurts user experience.","Remove or update: https://mylaunchstash.com/product/aiqualityhq, https://twitter.com/intent/tweet?text=Check%20out%20AIQualityHQ%20%E2%80%94%20a%20free%20tool%20to%20measure%2C%20improve%2C%20and%20trust%20every%20AI%20prompt%20interaction%21&url=https%3A%2F%2Faiqualityhq.com"
"warning","External Pages","External 4XX","https://aiqualityhq.com/ai-system-prompt-generator","89","2 external link(s) → 4XX","2 external link(s) return 4XX errors (e.g., 404 not found).","Linking to dead external pages wastes link equity and hurts user experience.","Remove or update: https://mylaunchstash.com/product/aiqualityhq, https://twitter.com/intent/tweet?text=Check%20out%20AIQualityHQ%20%E2%80%94%20a%20free%20tool%20to%20measure%2C%20improve%2C%20and%20trust%20every%20AI%20prompt%20interaction%21&url=https%3A%2F%2Faiqualityhq.com"
"warning","External Pages","External 4XX","https://aiqualityhq.com/articles","89","2 external link(s) → 4XX","2 external link(s) return 4XX errors (e.g., 404 not found).","Linking to dead external pages wastes link equity and hurts user experience.","Remove or update: https://mylaunchstash.com/product/aiqualityhq, https://twitter.com/intent/tweet?text=Check%20out%20AIQualityHQ%20%E2%80%94%20a%20free%20tool%20to%20measure%2C%20improve%2C%20and%20trust%20every%20AI%20prompt%20interaction%21&url=https%3A%2F%2Faiqualityhq.com"
"warning","Links","External Links","https://aiqualityhq.com/advertise-with-us","60","0 external links","No outbound links to external sites found.","Linking to authoritative external sources builds trust and can improve rankings.","Add 2–5 outbound links to relevant, high-authority pages in your niche."
"warning","Other","Favicon","https://aiqualityhq.com/advertise-with-us","60","Missing","No favicon found.","Favicons appear in browser tabs, bookmarks, and some search results.","Add <link rel=""icon"" href=""/favicon.ico""> to your <head>."
"warning","Content","H1 Tag Missing or Empty","https://aiqualityhq.com/advertise-with-us","60","Missing","No H1 tag found.","The H1 is the main heading — search engines rely on it to understand the page topic.","Add exactly one <h1> tag containing your primary keyword."
"warning","Localization","HTML Lang Attribute Missing","https://aiqualityhq.com/advertise-with-us","60","Missing lang attribute","No lang attribute on <html> tag.","Screen readers and search engines use the lang attribute to determine the page language.","Add lang=""en"" (or the appropriate code) to your <html> tag."
"warning","Images","Image Redirects","https://aiqualityhq.com/","88","2 image redirect(s)","2 image URL(s) redirect to another location.","Image redirects cause extra HTTP round-trips, slowing page load.","Update image src attributes to the final URL: https://startupfa.st/images/badges/powered-by-light.svg, https://launch-list.org/badges/svg/launch_list_badge_live.svg"
"warning","Images","Image Redirects","https://aiqualityhq.com/","87","2 image redirect(s)","2 image URL(s) redirect to another location.","Image redirects cause extra HTTP round-trips, slowing page load.","Update image src attributes to the final URL: https://startupfa.st/images/badges/powered-by-light.svg, https://launch-list.org/badges/svg/launch_list_badge_live.svg"
"warning","Images","Image Redirects","https://aiqualityhq.com/about","89","2 image redirect(s)","2 image URL(s) redirect to another location.","Image redirects cause extra HTTP round-trips, slowing page load.","Update image src attributes to the final URL: https://startupfa.st/images/badges/powered-by-light.svg, https://launch-list.org/badges/svg/launch_list_badge_live.svg"
"warning","Images","Image Redirects","https://aiqualityhq.com/advertise","89","2 image redirect(s)","2 image URL(s) redirect to another location.","Image redirects cause extra HTTP round-trips, slowing page load.","Update image src attributes to the final URL: https://startupfa.st/images/badges/powered-by-light.svg, https://launch-list.org/badges/svg/launch_list_badge_live.svg"
"warning","Images","Image Redirects","https://aiqualityhq.com/ai-audit","88","2 image redirect(s)","2 image URL(s) redirect to another location.","Image redirects cause extra HTTP round-trips, slowing page load.","Update image src attributes to the final URL: https://startupfa.st/images/badges/powered-by-light.svg, https://launch-list.org/badges/svg/launch_list_badge_live.svg"
"warning","Images","Image Redirects","https://aiqualityhq.com/ai-in-test-automation","87","2 image redirect(s)","2 image URL(s) redirect to another location.","Image redirects cause extra HTTP round-trips, slowing page load.","Update image src attributes to the final URL: https://startupfa.st/images/badges/powered-by-light.svg, https://launch-list.org/badges/svg/launch_list_badge_live.svg"
"warning","Images","Image Redirects","https://aiqualityhq.com/ai-software-testing","88","2 image redirect(s)","2 image URL(s) redirect to another location.","Image redirects cause extra HTTP round-trips, slowing page load.","Update image src attributes to the final URL: https://startupfa.st/images/badges/powered-by-light.svg, https://launch-list.org/badges/svg/launch_list_badge_live.svg"
"warning","Images","Image Redirects","https://aiqualityhq.com/ai-system-prompt-generator","89","2 image redirect(s)","2 image URL(s) redirect to another location.","Image redirects cause extra HTTP round-trips, slowing page load.","Update image src attributes to the final URL: https://startupfa.st/images/badges/powered-by-light.svg, https://launch-list.org/badges/svg/launch_list_badge_live.svg"
"warning","Images","Image Redirects","https://aiqualityhq.com/articles","89","2 image redirect(s)","2 image URL(s) redirect to another location.","Image redirects cause extra HTTP round-trips, slowing page load.","Update image src attributes to the final URL: https://startupfa.st/images/badges/powered-by-light.svg, https://launch-list.org/badges/svg/launch_list_badge_live.svg"
"warning","Links","Internal Links","https://aiqualityhq.com/advertise-with-us","60","1 internal link(s)","Very few internal links — pages need internal links to pass SEO value.","Internal links help Google discover your pages and distribute ranking power.","Add at least 3–5 internal links to related pages on your site."
"warning","Other","Keywords in URL","https://aiqualityhq.com/articles","89","/articles","No title keywords found in the URL slug.","URLs containing relevant keywords have a slight ranking advantage.","Consider including your main keyword in the URL slug."
"warning","Usability & Performance","Lazy Loading","https://aiqualityhq.com/","88","16 of 290 images missing lazy loading","16 of 290 images are missing lazy loading.","All images below the fold should be lazy loaded.","Add loading=""lazy"" to those images."
